slide_width_pt,slide_height_pt,slide_index,shape_id,shape_name,shape_type,left_pt,top_pt,width_pt,height_pt,left_pct,top_pct,width_pct,height_pct,rotation_deg,fill_hex,fill_transparency,line_hex,line_weight_pt,line_transparency,zorder,rounded_radius_pct
960.0000,540.0000,1,110,Rectangle 109,AutoShape,507.1884,314.4993,15.3600,4.8000,0.5283,0.5824,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,105,
960.0000,540.0000,1,111,Rectangle 110,AutoShape,544.3665,252.6611,15.3600,4.8000,0.5670,0.4679,0.0160,0.0089,58.556,#FFFF00,0.000,#042433,1.500,0.000,106,
960.0000,540.0000,1,113,Rectangle 112,AutoShape,583.9465,240.2019,15.3600,4.8000,0.6083,0.4448,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,107,
960.0000,540.0000,1,114,Rectangle 113,AutoShape,599.3661,241.4795,15.3600,4.8000,0.6243,0.4472,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,108,
960.0000,540.0000,1,115,Rectangle 114,AutoShape,614.5137,242.8430,15.3600,4.8000,0.6401,0.4497,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,109,
960.0000,540.0000,1,117,Rectangle 116,AutoShape,629.2463,243.8976,15.3600,4.8000,0.6555,0.4517,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,110,
960.0000,540.0000,1,118,Rectangle 117,AutoShape,644.3708,243.1396,15.3600,4.8000,0.6712,0.4503,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,111,
960.0000,540.0000,1,119,Rectangle 118,AutoShape,658.6522,242.2008,15.3600,4.8000,0.6861,0.4485,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,112,
960.0000,540.0000,1,120,Rectangle 119,AutoShape,670.2813,240.4588,15.3600,6.1758,0.6982,0.4453,0.0160,0.0114,90.000,#FFC000,0.000,#042433,1.500,0.000,113,
960.0000,540.0000,1,121,Rectangle 120,AutoShape,668.4846,269.0344,15.3600,6.1758,0.6963,0.4982,0.0160,0.0114,90.000,#FFC000,0.000,#042433,1.500,0.000,114,
960.0000,540.0000,1,122,Rectangle 121,AutoShape,661.0605,296.0621,15.3600,7.3057,0.6886,0.5483,0.0160,0.0135,90.000,#FFC000,0.000,#042433,1.500,0.000,115,
960.0000,540.0000,1,123,Rectangle 122,AutoShape,657.3228,325.4971,15.3600,7.3057,0.6847,0.6028,0.0160,0.0135,84.194,#FFC000,0.000,#042433,1.500,0.000,116,
960.0000,540.0000,1,124,Rectangle 123,AutoShape,665.9786,359.2097,15.3600,7.3057,0.6937,0.6652,0.0160,0.0135,82.056,#FFC000,0.000,#042433,1.500,0.000,117,
960.0000,540.0000,1,125,Rectangle 124,AutoShape,661.8474,386.9474,15.3600,7.3057,0.6894,0.7166,0.0160,0.0135,172.032,#FFC000,0.000,#042433,1.500,0.000,118,
960.0000,540.0000,1,126,Rectangle 125,AutoShape,666.8223,411.7430,13.5984,7.5718,0.6946,0.7625,0.0142,0.0140,149.072,#FFC000,0.000,#042433,1.500,0.000,119,
960.0000,540.0000,1,127,Rectangle 126,AutoShape,580.0828,268.7937,15.3600,4.8000,0.6043,0.4978,0.0160,0.0089,95.071,#FFC000,0.000,#042433,1.500,0.000,120,
960.0000,540.0000,1,128,Rectangle 127,AutoShape,596.0173,271.0167,15.3600,4.8000,0.6209,0.5019,0.0160,0.0089,95.633,#FFC000,0.000,#042433,1.500,0.000,121,
960.0000,540.0000,1,129,Rectangle 128,AutoShape,609.9924,271.6109,15.3600,4.8000,0.6354,0.5030,0.0160,0.0089,95.633,#FFC000,0.000,#042433,1.500,0.000,122,
960.0000,540.0000,1,130,Rectangle 129,AutoShape,623.9598,273.7748,15.3600,4.8000,0.6500,0.5070,0.0160,0.0089,95.633,#FFC000,0.000,#042433,1.500,0.000,123,
960.0000,540.0000,1,131,Rectangle 130,AutoShape,641.0746,272.7908,15.3600,4.8000,0.6678,0.5052,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,124,
960.0000,540.0000,1,132,Rectangle 131,AutoShape,654.0294,271.8831,15.3600,4.8000,0.6813,0.5035,0.0160,0.0089,85.786,#FFC000,0.000,#042433,1.500,0.000,125,
960.0000,540.0000,1,133,Rectangle 132,AutoShape,573.8594,293.3882,15.3600,4.8000,0.5978,0.5433,0.0160,0.0089,95.351,#FFC000,0.000,#042433,1.500,0.000,126,
960.0000,540.0000,1,134,Rectangle 133,AutoShape,588.5161,296.0652,15.3600,4.8000,0.6130,0.5483,0.0160,0.0089,95.709,#FFC000,0.000,#042433,1.500,0.000,127,
960.0000,540.0000,1,135,Rectangle 134,AutoShape,602.0899,298.2509,15.3600,4.8000,0.6272,0.5523,0.0160,0.0089,95.709,#FFC000,0.000,#042433,1.500,0.000,128,
960.0000,540.0000,1,136,Rectangle 135,AutoShape,559.4988,290.3542,15.3600,4.8000,0.5828,0.5377,0.0160,0.0089,98.034,#FFC000,0.000,#042433,1.500,0.000,129,
960.0000,540.0000,1,137,Rectangle 136,AutoShape,616.1235,299.3146,15.3600,4.8000,0.6418,0.5543,0.0160,0.0089,97.448,#FFC000,0.000,#042433,1.500,0.000,130,
960.0000,540.0000,1,138,Rectangle 137,AutoShape,630.2210,298.4485,15.3600,4.8000,0.6565,0.5527,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,131,
960.0000,540.0000,1,139,Rectangle 138,AutoShape,645.8480,297.8892,15.3600,4.8000,0.6728,0.5516,0.0160,0.0089,90.000,#FFC000,0.000,#042433,1.500,0.000,132,
960.0000,540.0000,1,140,Rectangle 139,AutoShape,542.2794,318.0257,15.3600,7.3057,0.5649,0.5889,0.0160,0.0135,100.947,#FFC000,0.000,#042433,1.500,0.000,133,
960.0000,540.0000,1,141,Rectangle 140,AutoShape,554.4833,321.3268,15.3600,4.8000,0.5776,0.5950,0.0160,0.0089,99.908,#FFC000,0.000,#042433,1.500,0.000,134,
960.0000,540.0000,1,142,Rectangle 141,AutoShape,568.8439,324.3431,15.3600,4.8000,0.5925,0.6006,0.0160,0.0089,96.958,#FFC000,0.000,#042433,1.500,0.000,135,
960.0000,540.0000,1,143,Rectangle 142,AutoShape,583.0079,325.3754,15.3600,4.8000,0.6073,0.6025,0.0160,0.0089,99.908,#FFC000,0.000,#042433,1.500,0.000,136,
